status_id,status_text,label
191,"???? ???? ????? ????? ???? ????? ????? ????, ????? ????? ????? ",Agreeableness
409,"???, ????? ????? ?? ??? ?? ???????? ????? ???? ???? ????? ?????? ???? ??? ??, ????? ????? ??? ?????? ?? ????? ??? ???? ??????",Agreeableness
160,????? ????? ???????? ??? ??? ????? ????,Agreeableness
132,??? ???? ???? ?????? ????? ????? ??????? ??? ??????? ?? ??????? ????????? ??? ????? ??? ???? ?????? ??? ?? ????? ??? ?????????? ?? ???? ????? ?????? ??? ???? ????? ?????????? ?,Agreeableness
180,"??????? ???? ????????? ?? ?????????? ???? ???? ?? ????????? ??????? ????? ?? ???? ?????? ?????? ??, ???? ??? ?????? ?? ????? ??????? ???? ????? ??!",Agreeableness
379,???? ??? ???????? ???? ??? ????? ???? ??????? ??? ??? ????,Agreeableness
177,???? ???? ???? ???????? ??????? ???????? ?? ????? ???????? ??????? ???????? ??? ???????? ??,Agreeableness
486,???? ?????? ????? ???? ??????? ??? ?????? ??? ??????????? ??????? ???? ?????? ???? ?????? ???????,Agreeableness
255,"???? ???? ????? ??? ????? ??????? ???? ??,??? ??? ???? ????? ????? ??????? ????",Agreeableness
88,?????? ?????? ????? ?? ????? ?????? ???? ?????? ??????? ??? ?????? ???? ?????? ???? ???? ?,Agreeableness
238,"????? ??? ???????, ??? ????? ????????? ???? ??? ???? ?????????? ??????? ??? ???? ????? ????? ??? ???????? ?????? ????? ???? ???? ???????? ???, ??? ???? ????????, ????? ?????? ??????? ????? ??????",Agreeableness
236,"????????? ???? ??????? ?? ????????? ???? ???????????? ??????? ??? ??? ????? ???? ???? ??? ????? ??,??? ????? ????? ???????? ??  ????? ????????",Agreeableness
252,"???? ?????? ????? ????? ????, ?????? ???? ???? ????",Agreeableness
94,????? ????????? ???? ?????? ? ??? ??????? ????? ??? ????? ????????????? ?????? ????,Agreeableness
264,???????? ???? ?????? ????? ?????????? ???? ?????????,Agreeableness
126,"????? ???? ????? ????? ??? ???????? ?????? ??? ???? ?????, ???? ???????",Agreeableness
356,?? ???? ?? ????? ?????? ??????? ?? ???? ???? ???? ???? ?? ??? ??? ????? ????? ???? ?????? ???????,Agreeableness
299,??? ???? ??? ?????... ???? ?????? ??????? ???? ?????? ?????? ????????,Agreeableness
75,"????? ?????? ??????,??????? ????? ?? ???? ????? ??? ??????????? ??? ??????????? ?????? ???? ???? ???? ?????? ????? ???+ ???? ???? ???",Agreeableness
272,??????? ??? ?? ??????? ?? ???? ?????? ????? ?? ?????? ??? ??? ????? ????? ???,Agreeableness
79,????? ??? ??? ????? ???? ????? ??????? ????? ???? ??? ?? ?????? ??? ????? ???? ????,Agreeableness
207,"??? ?????? ??????? ?????????? ????? ???? ????? ?????? ????? ??? ?????? ???? ?????? ???, ???? ????? ?? ?????? ????? ???? ??? ????? ??????? ??????? ???????? ????? ???? ???? ???? ???",Agreeableness
453,"??????? ?????????? ????? ?????? ?????????,??????? ???? ????????????, ??? ?????????? ?????? ??? ???? ???????? ???",Agreeableness
178,????? ?????? ????? ????? ???? ???? ??????? ?? ??????? ?????????,Agreeableness
258,"????? ???? ????? ?????? ??? ???? ????? ???! ???? ?????! ???? ????? - ?? ???? ?? ??????, ????? ????? ??????!",Agreeableness
162,????? ?? ??????? ????? ????????? ???? ???? ???? ????????,Agreeableness
439,"?????????????? ???? ?????? ??? ?????, ??????? ???? ???? ??? ?????? ???? ????? ?????-??? ? ?????? ???? ????? ?????? ??? ??? ???? ??????",Agreeableness
30,"???????,??? ??? ???? ?????? ????? ???????????????,????? ?? ??,???? ???????? ????? ??? ??????? ????? ?? ????? ??? ????? ?????????? ???????? ????? ????? ??? ???,?????? ??? ?????? ????? ??? ????? ??? ????,,?????",Agreeableness
113,?????? ?????? ?? ??? ??? ??? ?????????? ?????? ???????? ??? ?? ???? ????? ????? ???? ????? ????,Agreeableness
431,?????? ?? ?????? ???? ???? ?? ?? ??????? ????? ?? ??? ????? ????? ?? ??? ????,Agreeableness
374,?? ????????? ????? ??????? ???? ???? ??? ???,Agreeableness
200,"????? ??????? ??????????, ???????? ???? ????? ??? ????? ????",Agreeableness
221,??? ?????? ?? ?? ??????? ??? ???? ??????? ?????? ?? ????? ?????? ? ??????? ???? ????,Agreeableness
412,"????? ???? ????????, ?????? ????? ???? ?????? ???????? ????? ???? ???? ????? ??????",Agreeableness
280,???????? ???? ??? ???? ?? ?????? ?????? ???? ????? ?? ??? ????? ???????? ???? ???? ??? ?? ??????,Agreeableness
309,"??????????????,???? ???? ?????? ???? ??? ???????? ????? ?? ????? ????",Agreeableness
452,"?????????? ?????? ??????? ??????????? ???? ???? ??????, ??? ??? ???? ????? ??, ???? ?????? ???? ????? ",Agreeableness
449,?????? ???? ???????? ?? ????? ??? ??????? ????? ??????? ??? ????? ????,Agreeableness
211,"???? ????? ??? ????? ? ????  ??????? ????? ????? ???? ?? ????? ????  ??? ?? ?? ????????? ??? ???????, ???? ????? ???? ???????",Agreeableness
262,???? - ???? ??????? ???? ????? ???? ???? ???????? ?? ???????,Agreeableness
131,????? ????? ?????? ???? ????????? ??????????? ????? ??? ?? ??????? ????? ??? ????? ????? ???? ????? ??? ????? ???? ????? ???????,Agreeableness
20,????? ????? ????? ??? ????????!!,Agreeableness
3,"??? ??? ????? ???? ???? ??????? ???, ?? ??????? ????? ????",Agreeableness
90,"?????? ?? ?? ??? ???? ?? ??? ???? ????? ????? ??? ??????? ?? ??? ??? ??? ???? ????, ???? ?? ??????? ???? ???? ???",Agreeableness
490,????????? ?????? ??? ?? ????? ????? ???????????? ?????? ?????????? ????,Agreeableness
351,"?? ?????? ??? ?????? ????, ????? ??????? ??? ????? ??? ???, ????? ?????? ????? ??? ?????? ???????? ???? ??? ????",Agreeableness
73,???? ???? ?????????? ?????? ?????? ??????? ??? ????????? ????? ???????????? ??????? ??????? ??? ????? ???? ?????? ?????,Agreeableness
393,? ?? ??? ???? ???... ???????? ????? ?????? ???? ?????? ?? ???.. ???? ????? ??,Agreeableness
253,?????? ?????? ????? ????? ???? ??? ??????,Agreeableness
243,"??? ???????? ???? ????? ???? ???? ?????? ??? ????,",Agreeableness
158,"???? ?????? ?????, ?? ????????? ?? ??? ???? ????!!!",Agreeableness
456,"??? ???? ???? ???? ???, ??? ?????? ??????????? ???? ????",Agreeableness
433,?? ???? ??? ???? ????? ????????? ???????? ???????? ???? ??????? ??? ????? ????? ????????? ?????? ??? ???? ?????? ?????? ????? ,Agreeableness
498,?????????????? ???????? ?????? ???? ????  ??? ?????? ????? ?????? ????????? ???????? ???? ????? ????????? ??? ????? ??????,Agreeableness
337,??? ??????????????? ????? ?? ???? ?????????? ???? ??? ?????? ?????? ???? ???????? ????? ??? ???? ????????? ??? ?????? ?????? ?????? ????? ????,Agreeableness
189,???? ??????? ?????? ?? ??? ???????????? ?? ??????? ?? ?????????? ???????? ????????,Agreeableness
210,"?? ????? ???? ???? ???? ???? ?????? , ??? ????????? ??????? ???? ",Agreeableness
296,????? ??????? ??-???? ??? ???? ??????????/???? ?? ???? ?? ??? ??? ??? ???? ????? ??????,Agreeableness
417,????? ???? ???? ???? ???? ???? ??? ???? ???? ???? ??? ???????? ????? ??? ?? ?? ??????? ,Agreeableness
184,?? ????? ????????? ?????? ???????????? ???? ????? ????? ??????? ????? ??????? ??? ??????? ????? ?????? ??,Agreeableness
116,"????? ?????? ???? ????? ??? ?? ????? ??? ???? ???? ???? ?????,, ???? ???? ???? ?? ??? ??? ???? ???? ????? ??? ???? ?????? ???, ???? ???? ?? ???? ???? ?? ???? ?????, ???? ??? ??? ??? ???.",Agreeableness
38,?? ?????? ???? ???? ??? ???? ????? ???? ??? ??? ?? ???? ????? ????? ?? ????? ???? ???? ???? ?? ??? ??? ?????? ????? ????!,Agreeableness
185,????? ????? ???? ??????? ????? ???? ??????? ??????? ?????? ???????? ??????? ?????,Agreeableness
1,"?????? ????? ??? ???? ?? ??? ?????? ???, ???? ?? ??? ????????? ?????? ?????? ??? ?????? ????",Agreeableness
74,?.??? ??? ?? ?????? ???? ?????? ??? ??? ???? ?????? ???? ??? ???... ???? ?????? ???? ??!????? ????? ???? ?????????,Agreeableness
396,"?????????? ????? ??? ??? ??? ??????? ??????, ??????? ??? ????????? ???? ?????? ???? ??? ????, ?? ????? ?????? ???? ????? ???????? ??????  ????? ??? ?????",Agreeableness
482,????? ???? ??? ?????? ??? ???????? ?????? ??????? ???? ??? ??? ??? ???? ??? ?????? ?? ??,Agreeableness
334,"??? ?????? ??? ???????? ,???? ???? ???? ?????? ?????????? ? ??? ???? ????????? ??? ????? ???????",Agreeableness
85,??? ?????????? ?? ??????? ???? ????? ?????? ????? ?????? ???? ?????? ????? ????? ???? ????? ?????!,Agreeableness
434,???????????? ???? ??? ??? ???; ??? ??? ??? ??? ??? ????? ?????? ???????? ????? ??? ??? ?? ?? ????? ????? ?????? ????? ??????? ?? ???????,Agreeableness
397,?????????????? ???? ??? ??????? ???????? ????????? ???! ???????? ?????? ????? ??????! ?? ????? ?? ???? ????? ???? ???? ????? ?????? ?????!,Agreeableness
44,"????? ??? ??????,??? ???? ?????? ?? ????? ????? ????? ??? ?????? ?? ??? ?????? ?????? ??? ????? ????",Agreeableness
282,???????? ?? ????? ??? ???? ???? ????????? ???- ???? ??? ??????? ???,Agreeableness
110,"???? ? ????? ?????, ????? ??????? ???? ?????? ???? ??????, ???? ?? ??????? ????",Agreeableness
103,??? ????? ????? ??? ?? ?????? ?? ??? ????? ???? ?? ??? ?????? ?????? ?? ?????? ????? ????? ???? ??? ??? ??????? ???? ?????? ???? ??????,Agreeableness
118,"???? ?????? ????? ?? ????????? ???? ??? ????, ?????? ??? ?????",Agreeableness
195,"????? ????? ???????? ??? ????? ???? ???? ????? ?????, ??????????? ????? ????? ??? ????? ???? ???? ??? ?????? ??? ?????",Agreeableness
35,"??? ???? ?????? ??????? ???,,?????? ????? ??? ????? ????? ??? ",Agreeableness
292,"???? ??????, ?????? ?? ??????????? ???? ??????? ? ???? ???????? ????? ??",Agreeableness
462,?? ????????? ?? ???? ?? ???? ?? ?? ??? ?? ???? ???!!,Agreeableness
83,????????? ????? ???? ??? ?? ??????? ?????? ?? ????? ?? ??,Agreeableness
91,?? ??????? ?? ?????? ???????? ???? ??? ???? ??? ????? ??????????? ?????? ???? ??? ???? ????? ???? ???? ???? ???? ????? ???? ??,Agreeableness
307,"??? ??? ?? ?? ????? ???? ??? ??? ?? ?????? ?? ???? ?? ???? ???, ?? ???? ????? ???? ????? ??? ???????",Agreeableness
95,"??? ?????? ????, ??? ??? ?? ?? ?????? ???? ?????? ????, ???????? ?????",Agreeableness
457,?????????? ?????? ?????? ????? ???? ???? ??? ??????? ??? ???? ???? ???? ??????????? ??????? ???? ???? ????? ?????,Agreeableness
129,????? ??? ???? ?????? ? ????? ???? ????? ?????,Agreeableness
349,"?????, ?????? ??? ?????? ???????,, ??? ??????? ??? ????? ?? ?????",Agreeableness
64,"???? ???? ????,????? ???? ???? ??????? ?????????????? ??? ???,????? ???? ????? ???????? ????? ???? ????",Agreeableness
169,????? ?? ???? ????? ?????? ?????? ???? ???????? ???? ?? ????? ???? ???? ?,Agreeableness
230,?????????? ???? ??????? ???? ????? ? ????? ????????? ?????? ??? ????? ?,Agreeableness
266,"???????? ???, ????? ? ????? ??????? ?????",Agreeableness
419,???????? ???? ?? ????? ?????????? ???? ???????? ?? ???? ??? ???? ????? ?? ???? ???? ??? ???? ????? ???????? ????? ??? ??,Agreeableness
406,"???? ??????, ?????? ??????? ??? ?????,????? ?????,?????? ????? ????? ???????? ?????",Agreeableness
246,"??????? ?????? ??????, ???? ???? ??????? ?? ??????? ??? ???? ?????? ??????, ?????? ????????",Agreeableness
203,????? ????? ????? ???? ? ??? ????? ??? ???? ???? ?? ???? ??? ???? ? ?????? ??? ?,Agreeableness
107,??????? ??? ?????? ??? ??? ????..!?????? ?????? ????????? ?? ???? ?? ?? ????? ????? ???,Agreeableness
93,"?????? ????? ????? ??? ?? , ???????????? ?????? ?? ???? ???? ?? ????? , ?? ????????? ???? ???? ??? ? ?????? ??????? ???????????? ???? ?????? , ?????? ???????????? ????????? ??? ",Agreeableness
9,"?? ??????, ???????? ???? ??? ?????? ?? ???? ???",Agreeableness
97,?????? ????????? ???? ????? ?????? ????? ????? ????? ??????? ??????? ????? ????????????? ??? ??? ????? ??? ???? ??????? ??????? ???? ??????? ?????,Agreeableness
361,???? ????? ???? ??? ?????????? ??????? ??????? ???? ???? ??? ?????? ?????? ????? ?????? ????????,Agreeableness
444,?????? ???? ???? ?? ??? ???? ???? ????? ?????? ?????? ????? ?? ????? ?? ??????? ??? ???? ?????? ?? ??????????? ,Agreeableness
144,"??? ????? ?? ??? ??? ???? ???? ???? ? ??? ????? ???????? ???? ????? ?? ???,,,, ??? ???? ? ??? ??????? ????? ??? ???...?",Agreeableness
196,????? ?????? ?????? ??????? ????? ???? ????? ??? ????? ????? ????,Agreeableness
